VOFA 参数 ID 对照表
生成依据：project/code/param_registry.def

ID  HEX   参数名                  作用
47  0x2F  Jump_Burst_MS           跳跃爆发阶段持续时间，单位 ms。
48  0x30  Jump_AirRetract_Y       跳跃腾空/收腿阶段目标 Y，用于空中腿长。
49  0x31  Jump_Buffer_Y           跳跃落地缓冲阶段目标 Y，用于落地缓冲腿长。
50  0x32  Jump_LandingMax_MS      跳跃等待落地的最大时间，单位 ms，超时进入恢复。
51  0x33  Navi_ModeDriver         导航驱动模式：0停用，1已有地图计算，2记录/远程模式。当前 1 只观察打印不接管。
52  0x34  Navi_ModeMap            导航地图模式：0静态测试地图，1打点地图，2WiFi动态地图。
53  0x35  Navi_TrigRecord         导航打点触发变量，通常从 0 变 1 触发一次记录。
54  0x36  Navi_PrintPoseEn        导航位姿/目标点/距离/需转向角打印开关，1开启。
55  0x37  Navi_PrintPeriod        导航打印周期，单位 ms。
56  0x38  Navi_WifiCmd            导航 WiFi 动态地图命令入口：0待机，1追加点，2清空地图，3触发动作。
57  0x39  Navi_WifiType           导航 WiFi 动态航点类型，对应 WayPoint_Type 枚举。
58  0x3A  Navi_WifiAction         导航 WiFi 动态动作指令，对应动作状态/动作命令。
59  0x3B  Navi_Speed_Kp           导航普通循迹速度决策 P 项，距离越远目标速度越高。
60  0x3C  Navi_Speed_Ki           导航普通循迹速度决策 I 项，默认 0，避免近点积分过冲。
61  0x3D  Navi_Speed_Kd           导航普通循迹速度决策 D 项，抑制距离变化导致的速度突变。
62  0x3E  Navi_Speed_Max          导航普通循迹目标速度上限。
63  0x3F  Navi_Speed_MaxStep      导航普通循迹目标速度每 10ms 最大变化量。
